atlas_id,name,type,S_k,S_t,S_e,trit_depth,gateway_trit,n_oscillators
FP_0000,daylight_examples.smarts_0,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0001,daylight_examples.smarts_1,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0002,daylight_examples.smarts_2,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0003,daylight_examples.smarts_3,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0004,daylight_examples.smarts_4,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,1.0,
FP_0005,daylight_examples.smarts_5,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0006,daylight_examples.smarts_6,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0007,daylight_examples.smarts_7,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0008,daylight_examples.smarts_8,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0009,daylight_examples.smarts_9,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,2.0,
FP_0010,daylight_examples.smarts_10,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0011,daylight_examples.smarts_11,molecular,0.1111111111111111,0.3333333333333333,0.7757201646090535,9.0,0.0,
FP_0012,daylight_examples.smarts_12,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,0.0,
FP_0013,daylight_examples.smarts_13,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0014,daylight_examples.smarts_14,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0015,daylight_examples.smarts_15,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,0.0,
FP_0016,daylight_examples.smarts_16,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0017,daylight_examples.smarts_17,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0018,daylight_examples.smarts_18,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,0.0,
FP_0019,daylight_examples.smarts_19,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0020,daylight_examples.smarts_20,molecular,0.18181818181818182,0.2121212121212121,0.7720414016710313,11.0,0.0,
FP_0021,daylight_examples.smarts_21,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0022,daylight_examples.smarts_22,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,2.0,
FP_0023,daylight_examples.smarts_23,molecular,0.1,0.0,0.8938271604938272,5.0,0.0,
FP_0024,daylight_examples.smarts_24,molecular,0.16666666666666666,0.2222222222222222,0.7757201646090535,9.0,0.0,
FP_0025,daylight_examples.smarts_25,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,0.0,
FP_0026,daylight_examples.smarts_26,molecular,0.2,0.0,0.7814814814814814,5.0,0.0,
FP_0027,daylight_examples.smarts_27,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0028,daylight_examples.smarts_28,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0029,daylight_examples.smarts_29,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0030,daylight_examples.smarts_30,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0031,daylight_examples.smarts_31,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0032,daylight_examples.smarts_32,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0033,daylight_examples.smarts_33,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0034,daylight_examples.smarts_34,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0035,daylight_examples.smarts_35,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0036,daylight_examples.smarts_36,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0037,daylight_examples.smarts_37,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0038,daylight_examples.smarts_38,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0039,daylight_examples.smarts_39,molecular,0.0,0.7222222222222222,0.0,2.0,1.0,
