name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_0,[CX4],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_1,[$([CX2](=C)=C)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_2,[$([CX3]=[CX3])],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_3,[$([CX2]#C)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_4,[CX3]=[OX1],0.0,0.3333333333333333,0.7777777777777777,3,2
daylight_examples.smarts_5,"[$([CX3]=[OX1]),$([CX3+]-[OX1-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_6,[CX3](=[OX1])C,0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_7,[OX1]=CN,0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_8,[CX3](=[OX1])O,0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_9,"[CX3](=[OX1])[F,Cl,Br,I]",0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_10,[CX3H1](=O)[#6],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_11,[CX3](=[OX1])[OX2][CX3](=[OX1]),0.1111111111111111,0.3333333333333333,0.7757201646090535,9,5
daylight_examples.smarts_12,[NX3][CX3](=[OX1])[#6],0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_13,[NX3][CX3]=[NX3+],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_14,"[NX3,NX4+][CX3](=[OX1])[OX2,OX1-]",0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_15,[NX3][CX3](=[OX1])[OX2H0],0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_16,"[NX3,NX4+][CX3](=[OX1])[OX2H,OX1-]",0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_17,[CX3](=O)[O-],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_18,[CX3](=[OX1])(O)O,0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_19,"[CX3](=[OX1])([OX2])[OX2H,OX1H0-1]",0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_20,C[OX2][CX3](=[OX1])[OX2]C,0.18181818181818182,0.2121212121212121,0.7720414016710313,11,6
daylight_examples.smarts_21,[CX3](=O)[OX2H1],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_22,"[CX3](=O)[OX1H0-,OX2H1]",0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_23,[NX3][CX2]#[NX1],0.1,0.0,0.8938271604938272,5,3
daylight_examples.smarts_24,[#6][CX3](=O)[OX2H0][#6],0.16666666666666666,0.2222222222222222,0.7757201646090535,9,5
daylight_examples.smarts_25,[#6][CX3](=O)[#6],0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_26,[OD2]([#6])[#6],0.2,0.0,0.7814814814814814,5,3
daylight_examples.smarts_27,[H],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_28,[H+],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_29,[2H],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_30,[H][H],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_31,[!#1],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_32,[H+],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_33,[+H],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_34,[!H],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_35,[!H1],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_36,"[NX3;H2,H1;!$(NC=O)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_37,[NX3][CX3]=[CX3],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_38,[NX3;H2;!$(NC=[!#6]);!$(NC#[!#6])][#6],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_39,"[NX3;H2,H1;!$(NC=O)].[NX3;H2,H1;!$(NC=O)]",0.0,0.7222222222222222,0.0,2,2
daylight_examples.smarts_40,"[NX3][$(C=C),$(cc)]",0.16666666666666666,0.0,0.7777777777777777,3,2
