epoch,loss,accuracy,partition_sharpness,phase_coherence
0,0.8977,0.3,0.5576,0.5557
1,0.6636,0.5,0.6299,0.6504
2,0.664,0.5,0.6345,0.6333
3,0.2102,0.9,0.7496,0.7671
4,0.323,0.8,0.7251,0.7266
5,0.2024,0.9,0.7748,0.769
6,0.1456,0.95,0.7896,0.7859
7,0.0821,1.0,0.8293,0.7938
8,0.09,1.0,0.7981,0.809
9,0.0874,1.0,0.8138,0.7873
10,0.0876,1.0,0.8061,0.809
11,0.0883,1.0,0.8041,0.8081
12,0.0915,1.0,0.8011,0.7844
13,0.0927,1.0,0.7905,0.805
14,0.0884,1.0,0.8108,0.787
15,0.0938,1.0,0.7959,0.7777
16,0.088,1.0,0.8052,0.8071
17,0.0897,1.0,0.8008,0.8032
18,0.0911,1.0,0.795,0.807
19,0.0918,1.0,0.791,0.8121
20,0.0903,1.0,0.7967,0.8097
21,0.0899,1.0,0.806,0.7855
22,0.0935,1.0,0.7856,0.8107
23,0.0932,1.0,0.794,0.789
24,0.0927,1.0,0.7902,0.8055
25,0.088,1.0,0.802,0.8169
26,0.0907,1.0,0.7938,0.814
27,0.0902,1.0,0.8071,0.7797
28,0.0898,1.0,0.8007,0.8025
29,0.0875,1.0,0.8125,0.7904
30,0.0919,1.0,0.802,0.7776
31,0.0916,1.0,0.7933,0.8069
32,0.0903,1.0,0.806,0.782
33,0.0916,1.0,0.7993,0.7894
34,0.0942,1.0,0.7922,0.7848
35,0.0947,1.0,0.7884,0.7904
36,0.0917,1.0,0.7908,0.8137
37,0.0948,1.0,0.788,0.7909
38,0.1004,1.0,0.7707,0.7867
39,0.0878,1.0,0.8105,0.794
40,0.0892,1.0,0.8017,0.8063
41,0.1011,1.0,0.773,0.7726
42,0.0855,1.0,0.8135,0.8077
43,0.0932,1.0,0.789,0.8044
44,0.0936,1.0,0.7942,0.7843
45,0.0953,1.0,0.785,0.7944
46,0.0911,1.0,0.793,0.813
47,0.0983,1.0,0.7802,0.7789
48,0.0902,1.0,0.802,0.7953
49,0.0888,1.0,0.807,0.7936
